,Brand,Price,Body,Mileage,EngineV,Engine Type,Registration,Year
0,BMW,4200.0,sedan,277,2.0,Petrol,yes,1991
1,Mercedes-Benz,7900.0,van,427,2.9,Diesel,yes,1999
2,Mercedes-Benz,13300.0,sedan,358,5.0,Gas,yes,2003
3,Audi,23000.0,crossover,240,4.2,Petrol,yes,2007
4,Toyota,18300.0,crossover,120,2.0,Petrol,yes,2011
5,Audi,14200.0,vagon,200,2.7,Diesel,yes,2006
6,Renault,10799.0,vagon,193,1.5,Diesel,yes,2012
7,Volkswagen,1400.0,other,212,1.8,Gas,no,1999
8,Renault,11950.0,vagon,177,1.5,Diesel,yes,2011
9,Renault,2500.0,sedan,260,1.79,Petrol,yes,1994
10,Audi,9500.0,vagon,165,2.7,Gas,yes,2003
11,Volkswagen,10500.0,sedan,100,1.8,Petrol,yes,2008
12,Toyota,16000.0,crossover,250,4.7,Gas,yes,2001
13,Renault,8600.0,hatch,84,1.5,Diesel,yes,2012
14,BMW,2990.0,other,203,2.0,Petrol,no,2001
15,Toyota,26500.0,crossover,21,2.0,Petrol,yes,2013
16,Audi,3500.0,vagon,250,2.5,Diesel,no,1998
17,Toyota,38233.0,other,0,2.4,Diesel,yes,2016
18,Volkswagen,7500.0,hatch,132,1.4,Diesel,yes,2006
19,Audi,6800.0,sedan,225,2.4,Gas,yes,1998
20,Mitsubishi,10500.0,crossover,130,2.4,Gas,yes,2006
21,Audi,24900.0,sedan,163,4.2,Diesel,yes,2008
22,Volkswagen,20800.0,crossover,151,3.0,Diesel,yes,2008
23,Audi,6500.0,sedan,330,2.4,Petrol,yes,1999
24,Mercedes-Benz,13566.0,other,171,2.2,Other,no,2011
25,Mitsubishi,8500.0,hatch,65,1.3,Petrol,yes,2010
26,Audi,2900.0,sedan,1,2.3,Gas,yes,1989
27,BMW,21500.0,other,72,3.0,Petrol,yes,2007
28,Mitsubishi,17900.0,crossover,87,3.8,Gas,yes,2008
29,BMW,28500.0,crossover,160,4.8,Gas,yes,2008
30,Volkswagen,9800.0,van,160,1.9,Diesel,yes,2009
31,Toyota,14500.0,sedan,147,2.4,Gas,yes,2006
32,BMW,6000.0,sedan,300,2.8,Petrol,yes,1996
33,BMW,67500.0,crossover,1,2.5,Diesel,yes,2016
34,Audi,33900.0,other,14,1.8,Petrol,yes,2014
35,Mercedes-Benz,9800.0,van,230,2.15,Diesel,yes,2004
36,Mercedes-Benz,63000.0,crossover,86,5.5,Petrol,yes,2009
37,BMW,7700.0,sedan,326,2.8,Petrol,yes,1998
38,Mercedes-Benz,9600.0,van,30,2.2,Diesel,yes,2006
39,Toyota,12800.0,sedan,181,2.4,Petrol,yes,2008
40,BMW,41000.0,crossover,80,3.0,Petrol,yes,2012
41,BMW,3700.0,sedan,231,2.5,Petrol,yes,1990
42,Mercedes-Benz,29500.0,sedan,134,5.0,Petrol,yes,2008
43,BMW,6500.0,sedan,335,2.8,Petrol,yes,1996
44,Renault,8250.0,van,66,1.5,Diesel,yes,2014
45,Mercedes-Benz,19500.0,crossover,172,3.5,Other,yes,2008
46,Mercedes-Benz,13500.0,sedan,317,5.0,Petrol,yes,2001
47,Mercedes-Benz,9200.0,van,266,2.2,Diesel,yes,2008
48,Volkswagen,5000.0,vagon,265,2.0,Diesel,no,2006
49,BMW,23900.0,crossover,162,4.8,Petrol,yes,2007
50,BMW,36900.0,sedan,81,3.0,Diesel,yes,2010
51,BMW,8900.0,other,253,1.8,Petrol,yes,1995
52,Renault,7800.0,van,200,1.9,Diesel,yes,2002
53,BMW,1650.0,sedan,270,1.8,Petrol,no,1995
54,Mercedes-Benz,50000.0,sedan,240,3.5,Petrol,yes,2006
55,Renault,9700.0,van,245,2.0,Diesel,yes,2008
56,Mercedes-Benz,9999.0,van,127,2.2,Diesel,yes,2005
57,Audi,69999.0,crossover,21,3.0,Petrol,yes,2015
58,Mitsubishi,6500.0,sedan,152,1.6,Petrol,yes,2007
59,Audi,4300.0,sedan,267,1.9,Diesel,no,2003
60,Audi,3000.0,sedan,267,2.5,Diesel,no,1999
61,Mercedes-Benz,8700.0,sedan,240,2.2,Diesel,yes,2000
62,Renault,9000.0,vagon,178,2.0,Petrol,yes,2008
63,Mercedes-Benz,20400.0,sedan,190,1.8,Gas,yes,2011
64,BMW,9000.0,sedan,175,3.0,Petrol,no,2006
65,Mercedes-Benz,13400.0,sedan,105,1.8,Petrol,yes,2006
66,Volkswagen,3700.0,sedan,195,1.9,Diesel,no,2001
